Begeni,Yorum,Paylasim
0,34,1
0,9,27
0,4,2
136,1,22
0,3,7
0,16,2
0,2,5
100,2,0
110,63,2
0,0,0
0,0,0
0,527,66
0,0,0
0,0,0
0,16,10
0,0,0
23,8,5
92,22,10
0,8,1
63,5,9
0,0,0
0,3,4
285,4,13
55,1,9
487,171,36
0,54,31
0,0,2
0,2,11
0,1,1
0,0,0
0,4,0
0,95,2
0,9,20
0,0,0
0,0,0
0,2,28
104,12,12
0,23,16
0,0,0
75,2,1
94,2,10
0,0,0
0,4,7
0,0,0
0,0,0
0,25,19
0,4,7
0,0,0
0,3,4
0,1,17
0,3,2
0,0,0
0,0,0
0,24,14
0,5,8
0,0,0
223,166,22
0,6,18
0,8,1
61,11,3
0,2,4
0,3,5
0,0,0
0,0,0
0,0,0
0,0,0
69,1,6
0,2,0
59,4,15
0,3,3
0,0,0
0,0,0
0,2,3
